"Labour force characteristics, monthly, seasonally adjusted and trend-cycle, last 5 months" 1 2 3
"Monthly"
"Table: 14-10-0287-01 (formerly CANSIM 282-0087)"
"Geography: Canada, Province or territory"

"","Canada","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia"
"","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5","Unemployment rate 5"
"","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over"
"","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"Reference period","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted","Unadjusted"
"","Percentage",,,,,,,,,,
"January 1976","8.1","14.3","11.5","9.0","12.3","9.1","7.2","6.7","5.0","5.3","10.1"
"February 1976","8.0","14.6","13.3","9.4","12.3","9.7","6.9","5.8","5.5","4.4","9.4"
"March 1976","7.6","14.8","10.7","9.4","12.6","8.7","6.9","5.4","5.0","4.7","8.7"
"April 1976","7.5","16.0","11.8","9.8","12.7","8.9","6.4","4.7","4.4","4.2","9.4"
"May 1976","6.8","13.8","8.7","9.0","12.0","7.8","5.9","4.0","3.3","4.2","9.0"
"June 1976","6.6","11.6","7.6","8.5","10.2","8.1","5.9","3.7","3.3","3.0","8.1"
"July 1976","7.1","13.1","9.9","9.4","9.8","8.3","6.5","4.4","4.2","3.7","8.7"
"August 1976","6.5","12.1","7.3","8.8","9.0","8.3","5.6","3.8","4.2","3.6","7.7"
"September 1976","6.3","11.3","6.7","8.5","9.0","8.5","5.2","4.1","2.7","3.4","7.7"
