"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","LTINT","TOT","PC_PA","M","2007-01",4.017273,
"DEU","LTINT","TOT","PC_PA","M","2007-02",4.049,
"DEU","LTINT","TOT","PC_PA","M","2007-03",3.941364,
"DEU","LTINT","TOT","PC_PA","M","2007-04",4.152632,
"DEU","LTINT","TOT","PC_PA","M","2007-05",4.279047,
"DEU","LTINT","TOT","PC_PA","M","2007-06",4.560476,
"DEU","LTINT","TOT","PC_PA","M","2007-07",4.505,
"DEU","LTINT","TOT","PC_PA","M","2007-08",4.296522,
"DEU","LTINT","TOT","PC_PA","M","2007-09",4.226,
"DEU","LTINT","TOT","PC_PA","M","2007-10",4.282609,
"DEU","LTINT","TOT","PC_PA","M","2007-11",4.089545,
"DEU","LTINT","TOT","PC_PA","M","2007-12",4.205883,
"DEU","LTINT","TOT","PC_PA","M","2008-01",4.027727,
"DEU","LTINT","TOT","PC_PA","M","2008-02",3.952857,
"DEU","LTINT","TOT","PC_PA","M","2008-03",3.799474,
"DEU","LTINT","TOT","PC_PA","M","2008-04",4.04,
"DEU","LTINT","TOT","PC_PA","M","2008-05",4.201905,
"DEU","LTINT","TOT","PC_PA","M","2008-06",4.520476,
"DEU","LTINT","TOT","PC_PA","M","2008-07",4.490435,
"DEU","LTINT","TOT","PC_PA","M","2008-08",4.202381,
"DEU","LTINT","TOT","PC_PA","M","2008-09",4.094091,
"DEU","LTINT","TOT","PC_PA","M","2008-10",3.883913,
"DEU","LTINT","TOT","PC_PA","M","2008-11",3.5565,
"DEU","LTINT","TOT","PC_PA","M","2008-12",3.047895,
"DEU","LTINT","TOT","PC_PA","M","2009-01",3.070952,
"DEU","LTINT","TOT","PC_PA","M","2009-02",3.1275,
"DEU","LTINT","TOT","PC_PA","M","2009-03",3.019546,
"DEU","LTINT","TOT","PC_PA","M","2009-04",3.133,
"DEU","LTINT","TOT","PC_PA","M","2009-05",3.371,
"DEU","LTINT","TOT","PC_PA","M","2009-06",3.473636,
"DEU","LTINT","TOT","PC_PA","M","2009-07",3.337826,
"DEU","LTINT","TOT","PC_PA","M","2009-08",3.305238,
"DEU","LTINT","TOT","PC_PA","M","2009-09",3.263182,
"DEU","LTINT","TOT","PC_PA","M","2009-10",3.209091,
"DEU","LTINT","TOT","PC_PA","M","2009-11",3.217143,
"DEU","LTINT","TOT","PC_PA","M","2009-12",3.1385,
"DEU","LTINT","TOT","PC_PA","M","2010-01",3.2575,
"DEU","LTINT","TOT","PC_PA","M","2010-02",3.17,
"DEU","LTINT","TOT","PC_PA","M","2010-03",3.102174,
"DEU","LTINT","TOT","PC_PA","M","2010-04",3.0645,
