"Station Name","BELLEVILLE"
"Province","ONTARIO"
"Latitude","44.15"
"Longitude","-77.39"
"Elevation","76.20"
"Climate Identifier","6150689"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1866-01","1866","01","-4.0","","-14.4","","-9.2","","","","","","22.6","","45.2","","67.8","","","",,"",,""
"1866-02","1866","02","-1.0","","-12.7","","-6.9","","","","","","45.7","","29.5","","75.2","","","",,"",,""
"1866-03","1866","03","0.7","","-7.0","","-3.2","","","","","","71.1","","21.1","","92.2","","","",,"",,""
"1866-04","1866","04","13.3","","1.8","","7.6","","","","","","52.3","","0.0","","52.3","","","",,"",,""
"1866-05","1866","05","15.6","","4.1","","9.9","","","","","","62.0","","0.0","","62.0","","","",,"",,""
"1866-06","1866","06","22.2","","11.8","","17.0","","","","","","65.3","","0.0","","65.3","","","",,"",,""
"1866-07","1866","07","26.6","","16.6","","21.6","","","","","","60.5","","0.0","","60.5","","","",,"",,""
"1866-08","1866","08","20.9","","11.7","","16.3","","","","","","94.0","","0.0","","94.0","","","",,"",,""
"1866-09","1866","09","18.0","","8.3","","13.2","","","","","","137.2","","0.0","","137.2","","","",,"",,""
"1866-10","1866","10","15.2","","4.4","","9.8","","","","","","48.5","","0.0","","48.5","","","",,"",,""
"1866-11","1866","11","7.8","","-0.4","","3.7","","","","","","99.1","","2.3","","101.3","","","",,"",,""
"1866-12","1866","12","-0.9","","-9.8","","-5.4","","","","","","74.9","","45.7","","120.7","","","",,"",,""
"1867-01","1867","01","-5.8","","-14.9","","-10.4","","","","","","3.6","","60.5","","64.0","","","",,"",,""
"1867-02","1867","02","1.2","","-8.8","","-3.8","","","","","","24.9","","48.0","","72.9","","","",,"",,""
"1867-03","1867","03","1.6","","-8.2","","-3.3","","","","","","17.3","","31.5","","48.8","","","",,"",,""
"1867-04","1867","04","10.2","","0.9","","5.6","","","","","","67.8","","8.6","","76.5","","","",,"",,""
"1867-05","1867","05","13.5","","5.4","","9.5","","","","","","133.9","","0.0","","133.9","","","",,"",,""
"1867-06","1867","06","24.8","","15.2","","20.0","","","","","","13.2","","0.0","","13.2","","","",,"",,""
"1867-07","1867","07","26.2","","15.2","","20.7","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1867-08","1867","08","26.8","","15.8","","21.3","","","","","","62.2","","0.0","","62.2","","","",,"",,""
"1867-09","1867","09","21.5","","8.8","","15.2","","","","","","40.9","","0.0","","40.9","","","",,"",,""
"1867-10","1867","10","14.8","","4.2","","9.5","","","","","","96.8","","0.0","","96.8","","","",,"",,""
"1867-11","1867","11","6.6","","-3.2","","1.7","","","","","","36.1","","19.6","","55.6","","","",,"",,""
"1867-12","1867","12","-2.4","","-14.2","","-8.3","","","","","","35.8","","35.6","","71.4","","","",,"",,""
"1868-01","1868","01","-4.8","","-14.9","","-9.9","","","","","","0.0","","82.3","","82.3","","","",,"",,""
"1868-02","1868","02","-3.7","","-16.6","","-10.2","","","","","","0.0","","105.2","","105.2","","","",,"",,""
"1868-03","1868","03","4.6","","-5.8","","-0.6","","","","","","73.4","","10.2","","83.6","","","",,"",,""
"1868-04","1868","04","9.1","","-1.3","","3.9","","","","","","30.5","","18.5","","49.0","","","",,"",,""
"1868-05","1868","05","17.8","","7.4","","12.6","","","","","","86.9","","0.0","","86.9","","","",,"",,""
"1868-06","1868","06","23.5","","12.4","","18.0","","","","","","32.8","","0.0","","32.8","","","",,"",,""
"1868-07","1868","07","30.8","","19.7","","25.3","","","","","","16.3","","0.0","","16.3","","","",,"",,""
"1868-08","1868","08","25.8","","14.5","","20.2","","","","","","81.3","","0.0","","81.3","","","",,"",,""
